filename,recording_length,sampling_frequency,magnitude_bandwidth,max_magnitude,mean_magnitude,label,set
a0168.wav,36,2000,8323,4170,-0.9605438736954476,normal,set_a
a0348.wav,36,2000,5560,2835,-0.8085939120693709,normal,set_a
a0279.wav,36,2000,-4653,28115,-0.612616408916607,normal,set_a
a0306.wav,31,2000,26419,12941,-5.1046312458198075,normal,set_a
a0262.wav,36,2000,31994,15331,-0.8328520159255313,normal,set_a
a0180.wav,36,2000,16542,9699,-0.6609143539407738,normal,set_a
a0158.wav,21,2000,18856,7249,0.03091917324819358,normal,set_a
a0324.wav,37,2000,25614,12453,-1.2183031066790861,normal,set_a
a0391.wav,36,2000,11516,5263,-0.867416610700694,normal,set_a
a0188.wav,36,2000,14854,5915,-0.6996528256137547,normal,set_a
a0127.wav,36,2000,29388,16963,-0.7632491958479064,abnormal,set_a
a0050.wav,31,2000,-16403,22011,-1.5018841454462406,abnormal,set_a
a0386.wav,36,2000,12600,5953,-0.5468491857446306,abnormal,set_a
a0257.wav,36,2000,18822,10519,-1.1925123235257153,normal,set_a
a0016.wav,31,2000,-21337,19686,-0.9221662877557648,abnormal,set_a
a0354.wav,36,2000,17298,7791,-0.7821314417091908,normal,set_a
a0208.wav,33,2000,29516,10793,-0.05989979085478702,abnormal,set_a
a0022.wav,36,2000,16743,8662,-0.6286804873663684,normal,set_a
a0070.wav,31,2000,-1,32767,-3.2934394283858395,abnormal,set_a
a0134.wav,36,2000,9239,4237,-0.9844065156004396,normal,set_a
a0203.wav,36,2000,19932,10957,-1.0177282229965157,normal,set_a
a0288.wav,36,2000,23286,7107,-1.1014846965291532,normal,set_a
a0246.wav,36,2000,31113,16043,-0.4053720630292155,normal,set_a
a0176.wav,36,2000,10337,4986,-0.875539729714574,normal,set_a
a0205.wav,21,2000,24505,13401,-1.3825262494240889,normal,set_a
a0175.wav,31,2000,-24976,24344,-0.9450639285831072,normal,set_a
a0214.wav,36,2000,-23721,20822,-1.348531456744343,normal,set_a
a0388.wav,36,2000,26457,15630,-0.7837146910510865,normal,set_a
a0122.wav,36,2000,24832,11943,-1.7174760275893006,normal,set_a
a0342.wav,31,2000,23466,9838,-1.1348834221851114,abnormal,set_a
